MB02JX EXAMPLE PROGRAM DATA
   3   3   4   4  -1.0D0  -1.0D0   Q
     1.0     2.0     3.0
     1.0     2.0     3.0
     1.0     2.0     3.0
     1.0     2.0     3.0
     1.0     2.0     3.0
     1.0     2.0     3.0
     1.0     2.0     3.0
     1.0     2.0     3.0
     1.0     2.0     3.0
     1.0     0.0     1.0
     1.0     1.0     0.0
     2.0     2.0     0.0
     1.0     2.0     3.0     1.0     2.0     3.0     0.0     1.0     1.0
     1.0     2.0     3.0     1.0     2.0     3.0     1.0     2.0     1.0
     1.0     2.0     3.0     1.0     2.0     3.0     1.0     1.0     1.0
     1.0     2.0     3.0     1.0     2.0     3.0     0.0     1.0     0.0
