TG01ID EXAMPLE PROGRAM DATA
  7    2     3     0.0    O
     2     0     0     0     0     0     0
     0     1     0     0     0     1     0
     2     0     0     2     0     0     0
     0     0     1     0     1     0     1
    -1     1     0    -1     0     1     0
     3     0     0     3     0     0     0
     1     0     1     1     1     0     1
     0     0     0     0     0     0     1
     0     0     0     0     0     0     3
     1     0     0     0     0     1     0
     0     0     0     0     1     0     2
     0     0     0     0     0    -1     0
     0     1     0     0     0     0     0
     0     0     1     1     0     0     0
     1     0
     0    -1
     0     1
     1     0
     0    -1
     0     1
     1     0
     2     0     0     0     0     0     1
     1     0     0     0     0     0     2
     0     0     0     0     0     0     3

