MB03TD EXAMPLE PROGRAM DATA
	5	S	U
	.F. .T. .T. .F. .F.
	.F. .T. .T. .F. .F.
    0.9501    0.7621    0.6154    0.4057    0.0579
         0    0.4565    0.7919    0.9355    0.3529
         0   -0.6822    0.4565    0.9169    0.8132
         0         0         0    0.4103    0.0099
         0         0         0         0    0.1389
         0   -0.1834   -0.1851    0.5659    0.3040
         0         0    0.4011   -0.9122    0.2435
         0         0         0    0.4786   -0.2432
         0         0         0         0   -0.5272
         0         0         0         0         0
     1     0     0     0     0
     0     1     0     0     0
     0     0     1     0     0
     0     0     0     1     0
     0     0     0     0     1
     0     0     0     0     0
     0     0     0     0     0
     0     0     0     0     0
     0     0     0     0     0
     0     0     0     0     0
