 SB04RD EXAMPLE PROGRAM DATA
   5     5     0.0     U     U     B
   1.0   2.0   3.0   4.0   5.0
   6.0   7.0   8.0   9.0   1.0
   0.0   2.0   3.0   4.0   5.0
   0.0   0.0   6.0   7.0   8.0
   0.0   0.0   0.0   9.0   1.0
   1.0   2.0   3.0   4.0   5.0
   0.0   1.0   2.0   3.0   4.0
   0.0   0.0   1.0   2.0   3.0
   0.0   0.0   0.0   1.0  -5.0
   0.0   0.0   0.0   4.0   1.0
   2.0   4.0  10.0  40.0   7.0
   6.0  20.0  40.0  74.0  38.0
   0.0   2.0   8.0  36.0   2.0
   0.0   0.0   6.0  52.0  -9.0
   0.0   0.0   0.0  13.0 -43.0
