TG01HD EXAMPLE PROGRAM DATA
  7    3     2     0.0    C
     2     0     2     0    -1     3     1
     0     1     0     0     1     0     0
     0     0     0     1     0     0     1
     0     0     2     0    -1     3     1
     0     0     0     1     0     0     1
     0     1     0     0     1     0     0
     0     0     0     1     0     0     1
     0     0     1     0     0     0     0
     0     0     0     0     0     1     0
     0     0     0     0     0     0     1
     0     0     0     0     0     0     1
     0     0     0     1     0     0     0
     0     0     1     0    -1     0     0
     1     3     0     2     0     0     0
     2     1     0
     0     0     0
     0     0     0
     0     0     0
     0     0     0
     0     0     0
     1     2     3
     1     0     0     1     0     0     1
     0    -1     1     0    -1     1     0

