 AG08BZ EXAMPLE PROGRAM DATA
   9    9    3     3     1.e-7     N
    (1,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)
    (0,0)   (1,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)
    (0,0)   (0,0)   (1,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)
    (0,0)   (0,0)   (0,0)   (1,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)
    (0,0)   (0,0)   (0,0)   (0,0)   (1,0)   (0,0)   (0,0)   (0,0)   (0,0)
    (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (1,0)   (0,0)   (0,0)   (0,0)
    (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (1,0)   (0,0)   (0,0)
    (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (1,0)   (0,0)
    (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (1,0)
    (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)
    (1,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)
    (0,0)   (1,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)
    (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)
    (0,0)   (0,0)   (0,0)   (1,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)
    (0,0)   (0,0)   (0,0)   (0,0)   (1,0)   (0,0)   (0,0)   (0,0)   (0,0)
    (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)
    (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (1,0)   (0,0)   (0,0)
    (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (0,0)   (1,0)   (0,0)
   (-1,0)   (0,0)   (0,0)
    (0,0)   (0,0)   (0,0)
    (0,0)   (0,0)   (0,0)
    (0,0)  (-1,0)   (0,0)
    (0,0)   (0,0)   (0,0)
    (0,0)   (0,0)   (0,0)
    (0,0)   (0,0)  (-1,0)
    (0,0)   (0,0)   (0,0)
    (0,0)   (0,0)   (0,0)
    (0,0)   (1,0)   (1,0)   (0,0)   (3,0)    (4,0)    (0,0)   (0,0)    (2,0)
    (0,0)   (1,0)   (0,0)   (0,0)   (4,0)    (0,0)    (0,0)   (2,0)    (0,0)
    (0,0)   (0,0)   (1,0)   (0,0)  (-1,0)    (4,0)    (0,0)  (-2,0)    (2,0)
    (1,0)   (2,0)  (-2,0)
    (0,0)  (-1,0)  (-2,0)
    (0,0)   (0,0)   (0,0)

